Date,Open,High,Low,Close,Adj Close,Volume
04-May-18,178.250000,184.250000,178.169998,183.830002,183.123856,56201300
07-May-18,185.179993,187.669998,184.750000,185.160004,184.448746,42451400
08-May-18,184.990005,186.220001,183.669998,186.050003,185.335327,28402800
09-May-18,186.550003,187.399994,185.220001,187.360001,186.640305,23211200
10-May-18,187.740005,190.369995,187.649994,190.039993,189.309998,27989300
11-May-18,189.490005,190.059998,187.449997,188.589996,188.589996,26212200
14-May-18,189.009995,189.529999,187.860001,188.149994,188.149994,20778800
15-May-18,186.779999,187.070007,185.100006,186.440002,186.440002,23695200
16-May-18,186.070007,188.460007,186.000000,188.179993,188.179993,19183100
17-May-18,188.000000,188.910004,186.360001,186.990005,186.990005,17294000
18-May-18,187.190002,187.809998,186.130005,186.309998,186.309998,18297700
21-May-18,188.000000,189.270004,186.910004,187.630005,187.630005,18400800
22-May-18,188.380005,188.880005,186.779999,187.160004,187.160004,15240700
23-May-18,186.350006,188.500000,185.759995,188.360001,188.360001,19467900
24-May-18,188.770004,188.839996,186.210007,188.149994,188.149994,23234000
25-May-18,188.229996,189.649994,187.649994,188.580002,188.580002,17461000
29-May-18,187.600006,188.750000,186.869995,187.899994,187.899994,22514100
30-May-18,187.720001,188.000000,186.779999,187.500000,187.500000,18446600
31-May-18,187.220001,188.229996,186.139999,186.869995,186.869995,27482800
01-Jun-18,187.990005,190.259995,187.750000,190.240005,190.240005,23250400
04-Jun-18,191.634995,193.419998,191.350006,192.205597,192.205597,18085371
